data,fonte,quantidade,status
2023-12-23T00:00:00,A,92,ERRO
2023-12-27T00:00:00,A,1320,ERRO
2023-12-09T00:00:00,A,124,ERRO
2023-12-12T00:00:00,A,2015,ERRO
2023-12-02T00:00:00,A,126,ERRO
2023-12-16T00:00:00,A,161,ERRO
2023-12-04T00:00:00,A,2027,ERRO
2023-12-11T00:00:00,A,2212,ERRO
2023-12-21T00:00:00,A,1142,ERRO
2023-12-05T00:00:00,A,2145,ERRO
2023-12-01T00:00:00,A,1467,ERRO
2023-12-22T00:00:00,A,834,ERRO
2023-12-29T00:00:00,A,559,ERRO
2023-12-14T00:00:00,A,1532,ERRO
2023-12-19T00:00:00,A,1501,ERRO
2023-12-18T00:00:00,A,1847,ERRO
2023-12-20T00:00:00,A,1247,ERRO
2023-12-06T00:00:00,A,1858,ERRO
2023-12-04T00:00:00,A,1,ERRO
2023-12-09T00:00:00,A,1,ERRO
2023-12-24T00:00:00,A,2,ERRO
2023-12-22T00:00:00,A,4,ERRO
2023-12-13T00:00:00,A,4,ERRO
2023-12-29T00:00:00,A,5,ERRO
2023-12-21T00:00:00,A,7,ERRO
2023-12-01T00:00:00,A,6,ERRO
2023-12-28T00:00:00,A,6,ERRO
2023-12-04T00:00:00,A,6,ERRO
2023-12-12T00:00:00,A,7,ERRO
2023-12-15T00:00:00,A,8,ERRO
2023-12-27T00:00:00,A,9,ERRO
2023-12-08T00:00:00,A,7,ERRO
2023-12-20T00:00:00,A,9,ERRO
2023-12-05T00:00:00,A,11,ERRO
2023-12-26T00:00:00,A,9,ERRO
2023-12-14T00:00:00,A,12,ERRO
2023-12-18T00:00:00,A,11,ERRO
2023-12-07T00:00:00,A,13,ERRO
2023-12-06T00:00:00,A,15,ERRO
2023-12-11T00:00:00,A,17,ERRO
2023-12-19T00:00:00,A,14,ERRO
2023-12-06T00:00:00,A,1,ERRO
2023-12-02T00:00:00,A,1,ERRO
2023-12-22T00:00:00,A,1,ERRO
2023-12-13T00:00:00,A,4,ERRO
2023-12-12T00:00:00,A,2,ERRO
2023-12-27T00:00:00,A,2,ERRO
2023-12-03T00:00:00,A,1,ERRO
2023-12-14T00:00:00,A,1,ERRO
2023-12-04T00:00:00,A,2,OK
2023-12-02T00:00:00,A,1,ERRO
2023-12-04T00:00:00,A,6,ERRO
2023-12-18T00:00:00,A,2,ERRO
2023-12-10T00:00:00,A,2,ERRO
2023-12-26T00:00:00,A,3,ERRO
2023-12-19T00:00:00,A,2,ERRO
2023-12-11T00:00:00,A,3,ERRO
2023-12-12T00:00:00,A,2,ERRO
2023-12-28T00:00:00,A,2,ERRO
2023-12-06T00:00:00,A,2,ERRO
2023-12-21T00:00:00,A,2,ERRO
2023-12-26T00:00:00,A,4,ERRO
2023-12-10T00:00:00,A,2,ERRO
2023-12-03T00:00:00,A,2,ERRO
2023-12-08T00:00:00,A,2,ERRO
2023-12-29T00:00:00,A,4,ERRO
2023-12-21T00:00:00,A,2,ERRO
2023-12-27T00:00:00,A,8,ERRO
2023-12-20T00:00:00,A,2712,OK
2023-12-09T00:00:00,A,6,ERRO
2023-12-15T00:00:00,A,3,ERRO
2023-12-01T00:00:00,A,3,ERRO
2023-12-07T00:00:00,A,3,ERRO
2023-12-29T00:00:00,A,3,ERRO
2023-12-22T00:00:00,A,4,ERRO
2023-12-07T00:00:00,A,5,ERRO
2023-12-20T00:00:00,A,4,ERRO
2023-12-05T00:00:00,A,3,ERRO
2023-12-18T00:00:00,A,4,ERRO
2023-12-22T00:00:00,A,5,ERRO
2023-12-04T00:00:00,A,5,ERRO
2023-12-11T00:00:00,A,5,ERRO
2023-12-23T00:00:00,A,303,OK
2023-12-13T00:00:00,A,11,ERRO
2023-12-28T00:00:00,A,14,ERRO
2023-12-01T00:00:00,A,5377,ERRO
2023-12-04T00:00:00,A,10,ERRO
2023-12-19T00:00:00,A,8,ERRO
2023-12-05T00:00:00,A,695,ERRO
2023-12-14T00:00:00,A,655,ERRO
2023-12-04T00:00:00,A,9,ERRO
2023-12-16T00:00:00,A,684,ERRO
2023-12-24T00:00:00,A,12,ERRO
2023-12-06T00:00:00,A,9,ERRO
2023-12-09T00:00:00,A,328,OK
2023-12-25T00:00:00,A,12,ERRO
2023-12-10T00:00:00,A,18,ERRO
2023-12-16T00:00:00,A,12,ERRO
2023-12-11T00:00:00,A,13,ERRO
2023-12-30T00:00:00,A,12,ERRO
2023-12-23T00:00:00,A,12,ERRO
2023-12-28T00:00:00,A,704,ERRO
2023-12-08T00:00:00,A,15,ERRO
2023-12-25T00:00:00,A,14,ERRO
2023-12-12T00:00:00,A,22,ERRO
2023-12-28T00:00:00,A,5346,ERRO
2023-12-31T00:00:00,A,27,ERRO
2023-12-17T00:00:00,A,27,ERRO
2023-12-27T00:00:00,A,704,ERRO
2023-12-23T00:00:00,A,696,ERRO
2023-12-05T00:00:00,A,1891,ERRO
2023-12-09T00:00:00,A,753,ERRO
2023-12-29T00:00:00,A,936,ERRO
2023-12-03T00:00:00,A,32,ERRO
2023-12-05T00:00:00,A,35,ERRO
2023-12-31T00:00:00,A,34,ERRO
2023-12-25T00:00:00,A,32,OK
2023-12-15T00:00:00,A,2469,OK
2023-12-25T00:00:00,A,77,ERRO
2023-12-24T00:00:00,A,40,ERRO
2023-12-13T00:00:00,A,44,ERRO
2023-12-01T00:00:00,A,40,ERRO
2023-12-29T00:00:00,A,381,ERRO
2023-12-05T00:00:00,A,6858,ERRO
2023-12-18T00:00:00,A,44,ERRO
2023-12-09T00:00:00,A,57,ERRO
2023-12-24T00:00:00,A,50,OK
2023-12-12T00:00:00,A,3224,OK
2023-12-10T00:00:00,A,61,ERRO
2023-12-24T00:00:00,A,120,ERRO
2023-12-30T00:00:00,A,66,ERRO
2023-12-02T00:00:00,A,59,ERRO
2023-12-11T00:00:00,A,6752,ERRO
2023-12-18T00:00:00,A,6493,ERRO
2023-12-31T00:00:00,A,54,OK
2023-12-27T00:00:00,A,2518,OK
2023-12-23T00:00:00,A,70,ERRO
2023-12-31T00:00:00,A,116,ERRO
2023-12-11T00:00:00,A,1612,ERRO
2023-12-26T00:00:00,A,5395,ERRO
2023-12-19T00:00:00,A,736,ERRO
2023-12-21T00:00:00,A,2550,OK
2023-12-16T00:00:00,A,69,ERRO
2023-12-17T00:00:00,A,63,ERRO
2023-12-13T00:00:00,A,6413,ERRO
2023-12-22T00:00:00,A,4560,ERRO
2023-12-29T00:00:00,A,3301,ERRO
2023-12-03T00:00:00,A,80,ERRO
2023-12-06T00:00:00,A,724,ERRO
2023-12-14T00:00:00,A,6061,ERRO
2023-12-12T00:00:00,A,737,ERRO
2023-12-17T00:00:00,A,77,OK
2023-12-10T00:00:00,A,85,OK
2023-12-14T00:00:00,A,91,ERRO
2023-12-20T00:00:00,A,83,ERRO
2023-12-07T00:00:00,A,1955,ERRO
2023-12-17T00:00:00,A,186,ERRO
2023-12-10T00:00:00,A,223,ERRO
2023-12-19T00:00:00,A,2275,ERRO
2023-12-03T00:00:00,A,98,OK
2023-12-04T00:00:00,A,1171,ERRO
2023-12-28T00:00:00,A,1690,ERRO
2023-12-03T00:00:00,A,248,ERRO
2023-12-26T00:00:00,A,1686,ERRO
2023-12-22T00:00:00,A,463,ERRO
2023-12-07T00:00:00,A,2617,OK
2023-12-06T00:00:00,A,6855,ERRO
2023-12-04T00:00:00,A,6370,ERRO
2023-12-13T00:00:00,A,1986,ERRO
2023-12-30T00:00:00,A,151,ERRO
2023-12-08T00:00:00,A,483,ERRO
2023-12-08T00:00:00,A,2019,OK
2023-12-04T00:00:00,A,2040,ERRO
2023-12-18T00:00:00,A,2866,OK
2023-12-13T00:00:00,A,2872,OK
2023-12-11T00:00:00,A,1966,ERRO
2023-12-01T00:00:00,A,520,ERRO
2023-12-11T00:00:00,A,2949,OK
2023-12-01T00:00:00,A,2357,OK
2023-12-05T00:00:00,A,2994,OK
2023-12-19T00:00:00,A,6828,ERRO
2023-12-20T00:00:00,A,2013,ERRO
2023-12-28T00:00:00,A,2393,OK
2023-12-21T00:00:00,A,2089,ERRO
2023-12-14T00:00:00,A,2676,OK
2023-12-18T00:00:00,A,1206,ERRO
2023-12-06T00:00:00,A,3027,OK
2023-12-30T00:00:00,A,214,OK
